customer_id,churn_probability,churn_prediction,risk_level,threshold,customer_value,customer_value_tier,retention_priority_score,segment,main_reason,recommended_action,priority
CUST_0001,0.00021532301740576803,0,Low,0.3292908351136531,197.64,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0002,0.015221493476282981,0,Low,0.3292908351136531,46.035,Low,1,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,No immediate action,P4
CUST_0003,3.632419634865016e-05,0,Low,0.3292908351136531,1536.52,High,21,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0004,0.00019205465347166037,0,Low,0.3292908351136531,240.02,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0005,5.091091650436572e-05,0,Low,0.3292908351136531,145.805,Low,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0006,0.000272793814908661,0,Low,0.3292908351136531,282.28,Medium,4,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0007,2.3068708515963154e-05,0,Low,0.3292908351136531,1235.96,High,17,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0008,6.583240308358984e-06,0,Low,0.3292908351136531,945.44,High,13,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0009,3.4864267189477e-05,0,Low,0.3292908351136531,557.68,High,8,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0010,1.6268985764617423e-05,0,Low,0.3292908351136531,191.92,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0011,0.0006229924526552446,0,Low,0.3292908351136531,268.52,Medium,4,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0012,0.0006584184678021227,0,Low,0.3292908351136531,123.68,Low,2,Low Engagement Customers,Inactive or higher-risk customer status,No immediate action,P4
CUST_0013,3.758534073782204e-05,0,Low,0.3292908351136531,830.6,High,12,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0014,8.061004137118534e-06,0,Low,0.3292908351136531,2056.88,High,28,High-Value Loyal Customers,Low usage frequency,No immediate action,P4
